"","layer","value","count","Moku","area km^2"
"1",1,"Open Ocean",16365,"KOOLAULOA",163.65
"2",1,"Soft Bottom",935,"KOOLAULOA",9.35
"3",1,"Other Hard Bottom",446,"KOOLAULOA",4.46
"4",1,"Rock/Boulder",247,"KOOLAULOA",2.47
"5",1,"Pavement",3114,"KOOLAULOA",31.14
"6",1,"Coral Dominated Hard Bottom",2989,"KOOLAULOA",29.89
"7",1,"Open Ocean",11482,"WAIALUA",114.82
"8",1,"Soft Bottom",420,"WAIALUA",4.2
"9",1,"Other Hard Bottom",385,"WAIALUA",3.85
"10",1,"Rock/Boulder",531,"WAIALUA",5.31
"11",1,"Pavement",1874,"WAIALUA",18.74
"12",1,"Coral Dominated Hard Bottom",1388,"WAIALUA",13.88
"13",1,"Open Ocean",10782,"WAIANAE",107.82
"14",1,"Soft Bottom",862,"WAIANAE",8.62
"15",1,"Rock/Boulder",299,"WAIANAE",2.99
"16",1,"Pavement",2809,"WAIANAE",28.09
"17",1,"Coral Dominated Hard Bottom",36,"WAIANAE",0.36
"18",1,"Open Ocean",10808,"EWA",108.08
"19",1,"Soft Bottom",3647,"EWA",36.47
"20",1,"Other Hard Bottom",387,"EWA",3.87
"21",1,"Rock/Boulder",8,"EWA",0.08
"22",1,"Pavement",6603,"EWA",66.03
"23",1,"Coral Dominated Hard Bottom",126,"EWA",1.26
"24",1,"Open Ocean",19599,"KOOLAUPOKO",195.99
"25",1,"Soft Bottom",2752,"KOOLAUPOKO",27.52
"26",1,"Other Hard Bottom",469,"KOOLAUPOKO",4.69
"27",1,"Rock/Boulder",705,"KOOLAUPOKO",7.05
"28",1,"Pavement",6961,"KOOLAUPOKO",69.61
"29",1,"Coral Dominated Hard Bottom",4303,"KOOLAUPOKO",43.03
"30",1,"Open Ocean",6701,"KONA OAH",67.01
"31",1,"Soft Bottom",799,"KONA OAH",7.99
"32",1,"Other Hard Bottom",156,"KONA OAH",1.56
"33",1,"Pavement",3426,"KONA OAH",34.26
"34",1,"Coral Dominated Hard Bottom",236,"KONA OAH",2.36
"35",1,"Open Ocean",6553,"HALELEA",65.53
"36",1,"Soft Bottom",858,"HALELEA",8.58
"37",1,"Other Hard Bottom",40,"HALELEA",0.4
"38",1,"Rock/Boulder",94,"HALELEA",0.94
"39",1,"Pavement",785,"HALELEA",7.85
"40",1,"Coral Dominated Hard Bottom",2396,"HALELEA",23.96
"41",1,"Open Ocean",10175,"KOOLAU KAU",101.75
"42",1,"Soft Bottom",352,"KOOLAU KAU",3.52
"43",1,"Other Hard Bottom",188,"KOOLAU KAU",1.88
"44",1,"Rock/Boulder",105,"KOOLAU KAU",1.05
"45",1,"Pavement",1613,"KOOLAU KAU",16.13
