NAME2,Year,Developed,Cropland,Pasture,Grass/Shrub,Tree Cover,Freshwater Wetlands,Estuarine Wetlands,Barren,Beaches/ Dunes
EWA,2013,123.32,38.71,28.55,75.08,175.05,2.72,0.74,1.05,0.2
EWA,2019,126.76,36.73,26.48,77.56,174.17,2.72,0.63,0.94,0.2
EWA,2016,125.23,38.66,28.55,74.28,174.13,2.72,0.74,0.86,0.2
HALELEA,2013,3.07,1.64,4.83,35.31,171.94,12.33,0.07,0.1,0.23
HALELEA,2019,3.17,2.06,4.83,33.85,173.37,12.33,0.11,0.08,0.23
HALELEA,2016,3.08,1.64,4.83,34.64,172.64,12.33,0.11,0.1,0.23
HAMAKUA,2013,2.14,63.41,440.34,60.45,119.35,44.89,0.89,35.66,0
HAMAKUA,2019,2.4,62.79,438.44,60.93,121.55,44.89,0.89,35.53,0
HAMAKUA,2016,2.13,63.41,440.34,60.63,119.19,44.89,0.89,35.65,0
HAMAKUALOA,2013,3.99,1.91,46.75,16.7,53.87,37.84,0.08,0.21,0.05
HAMAKUALOA,2019,4.21,0.52,47.1,16.66,54.47,37.84,0.1,0.16,0.05
HAMAKUALOA,2016,3.96,1.91,46.75,16.28,54.29,37.84,0.08,0.21,0.05
HAMAKUAPOKO,2013,12.73,94.49,35.66,25.63,7.19,0.55,0.12,0.18,0.24
HAMAKUAPOKO,2019,12.62,7.19,59.66,88.7,7.58,0.55,0.12,0.21,0.24
HAMAKUAPOKO,2016,12.83,94.49,35.66,25.22,7.46,0.55,0.11,0.17,0.24
HANA,2013,0.44,0.34,9.96,17.33,30.82,37.44,0.02,0.09,0.02
HANA,2019,0.41,0.76,10.3,16.47,30.91,37.44,0.05,0.08,0.02
HANA,2016,0.43,0.34,9.96,16.9,31.26,37.44,0.02,0.09,0.02
HILO,2013,32.7,61.03,102.74,474.32,743.56,155.71,4.18,212.59,0.05
HILO,2019,32.08,63.02,100.23,471.83,746.89,155.71,4.11,212.28,0.05
HILO,2016,32.62,61.03,102.72,472.62,745.3,155.71,4.2,212.44,0.05
HONUAULA,2013,5.68,0.13,93.86,19.42,3.35,0,0.81,21.88,0.09
HONUAULA,2019,5.58,0.18,93.81,19.46,3.79,0,0.66,21.56,0.09
HONUAULA,2016,5.71,0.13,93.86,19.43,3.56,0,0.82,21.61,0.09
KAANAPALI,2013,4.38,2.23,0,32.52,64.78,5.24,0.06,0.08,0.07
KAANAPALI,2019,4.17,2.52,0,30.43,67.2,5.24,0.05,0.1,0.07
KAANAPALI,2016,4.41,2.23,0,31.2,66.08,5.24,0.06,0.08,0.07
KAHIKINUI,2013,0,0,69.11,29.37,1.73,0,0.25,6.53,0
KAHIKINUI,2019,0,0,69.11,29.52,1.87,0,0.24,6.37,0
KAHIKINUI,2016,0,0,69.11,29.5,1.75,0,0.24,6.44,0
KALAWA,2013,0,0.01,2.34,17.54,79.08,12.4,0.02,0.04,0.02
KALAWA,2019,0,0.01,2.34,17.12,79.83,12.4,0.02,0.04,0.02
KALAWA,2016,0,0.01,2.34,17.25,79.42,12.4,0.03,0.04,0.02
KALUAKOI,2013,0.42,0,48.14,96.6,6.87,0.2,0.57,1.84,0.21
KALUAKOI,2019,0.43,0,47.74,95.94,8.19,0.2,0.74,1.86,0.21
KALUAKOI,2016,0.42,0,48.14,96.59,6.9,0.2,0.59,1.84,0.21
KAU,2013,1.19,39.82,377.42,608.84,454.66,0.13,15.64,784.87,0
KAU,2019,1.45,40.69,376.72,599.38,466.86,0.13,15.96,779.27,0
KAU,2016,1.14,39.82,377.42,600.41,463.57,0.13,15.8,783.51,
KAUPO,2013,0,0,41.66,68.33,10.94,8.9,0.49,13.26,0.03
KAUPO,2019,0,0,41.66,67.75,11.24,8.9,0.59,13.12,0.03
KAUPO,2016,0,0,41.66,68.07,11.23,8.9,0.49,13.23,0.03
KEALALOLOA,2013,0.88,20.75,0.29,62.5,23.85,1.32,0.05,0.1,0.52
KEALALOLOA,2019,0.84,3.36,1.59,75.2,26.73,1.32,0.12,0.07,0.52
KEALALOLOA,2016,0.91,20.75,0.29,61.17,25.17,1.32,0.13,0.11,0.52
KIPAHULU,2013,0,0.24,3.47,8.11,28.1,22.93,0,0.01,0.01
KIPAHULU,2019,0,0.24,3.46,7.94,28.32,22.93,0.01,0.01,0.01
