realm,name2,moku_olelo,moku,island_olelo,island,ecosystem_type,area_km2,year
Marine,HALELEA,Halele‘a,halelea,Kaua‘i,kauai,Coral Dominated Hard Bottom,23.96,2013
Marine,HALELEA,Halele‘a,halelea,Kaua‘i,kauai,Coral Dominated Hard Bottom,23.96,2016
Marine,HALELEA,Halele‘a,halelea,Kaua‘i,kauai,Coral Dominated Hard Bottom,23.96,2019
Marine,HALELEA,Halele‘a,halelea,Kaua‘i,kauai,Open Ocean,65.53,2013
Marine,HALELEA,Halele‘a,halelea,Kaua‘i,kauai,Open Ocean,65.53,2016
Marine,HALELEA,Halele‘a,halelea,Kaua‘i,kauai,Open Ocean,65.53,2019
Marine,HALELEA,Halele‘a,halelea,Kaua‘i,kauai,Other Hard Bottom,0.4,2013
Marine,HALELEA,Halele‘a,halelea,Kaua‘i,kauai,Other Hard Bottom,0.4,2016
Marine,HALELEA,Halele‘a,halelea,Kaua‘i,kauai,Other Hard Bottom,0.4,2019
Marine,HALELEA,Halele‘a,halelea,Kaua‘i,kauai,Pavement,7.85,2013
Marine,HALELEA,Halele‘a,halelea,Kaua‘i,kauai,Pavement,7.85,2016
Marine,HALELEA,Halele‘a,halelea,Kaua‘i,kauai,Pavement,7.85,2019
Marine,HALELEA,Halele‘a,halelea,Kaua‘i,kauai,Rock/Boulder,0.94,2013
Marine,HALELEA,Halele‘a,halelea,Kaua‘i,kauai,Rock/Boulder,0.94,2016
Marine,HALELEA,Halele‘a,halelea,Kaua‘i,kauai,Rock/Boulder,0.94,2019
Marine,HALELEA,Halele‘a,halelea,Kaua‘i,kauai,Soft Bottom,8.58,2013
Marine,HALELEA,Halele‘a,halelea,Kaua‘i,kauai,Soft Bottom,8.58,2016
Marine,HALELEA,Halele‘a,halelea,Kaua‘i,kauai,Soft Bottom,8.58,2019
Marine,KOOLAU KAU,Ko‘olau,koolau,Kaua‘i,kauai,Coral Dominated Hard Bottom,8.42,2013
Marine,KOOLAU KAU,Ko‘olau,koolau,Kaua‘i,kauai,Coral Dominated Hard Bottom,8.42,2016
Marine,KOOLAU KAU,Ko‘olau,koolau,Kaua‘i,kauai,Coral Dominated Hard Bottom,8.42,2019
Marine,KOOLAU KAU,Ko‘olau,koolau,Kaua‘i,kauai,Open Ocean,101.75,2013
Marine,KOOLAU KAU,Ko‘olau,koolau,Kaua‘i,kauai,Open Ocean,101.75,2016
Marine,KOOLAU KAU,Ko‘olau,koolau,Kaua‘i,kauai,Open Ocean,101.75,2019
Marine,KOOLAU KAU,Ko‘olau,koolau,Kaua‘i,kauai,Other Hard Bottom,1.88,2013
Marine,KOOLAU KAU,Ko‘olau,koolau,Kaua‘i,kauai,Other Hard Bottom,1.88,2016
Marine,KOOLAU KAU,Ko‘olau,koolau,Kaua‘i,kauai,Other Hard Bottom,1.88,2019
Marine,KOOLAU KAU,Ko‘olau,koolau,Kaua‘i,kauai,Pavement,16.13,2013
Marine,KOOLAU KAU,Ko‘olau,koolau,Kaua‘i,kauai,Pavement,16.13,2016
Marine,KOOLAU KAU,Ko‘olau,koolau,Kaua‘i,kauai,Pavement,16.13,2019
Marine,KOOLAU KAU,Ko‘olau,koolau,Kaua‘i,kauai,Rock/Boulder,1.05,2013
Marine,KOOLAU KAU,Ko‘olau,koolau,Kaua‘i,kauai,Rock/Boulder,1.05,2016
Marine,KOOLAU KAU,Ko‘olau,koolau,Kaua‘i,kauai,Rock/Boulder,1.05,2019
Marine,KOOLAU KAU,Ko‘olau,koolau,Kaua‘i,kauai,Soft Bottom,3.52,2013
Marine,KOOLAU KAU,Ko‘olau,koolau,Kaua‘i,kauai,Soft Bottom,3.52,2016
Marine,KOOLAU KAU,Ko‘olau,koolau,Kaua‘i,kauai,Soft Bottom,3.52,2019
Marine,NAPALI,Nāpali,napali,Kaua‘i,kauai,Coral Dominated Hard Bottom,50.4,2013
Marine,NAPALI,Nāpali,napali,Kaua‘i,kauai,Coral Dominated Hard Bottom,50.4,2016
Marine,NAPALI,Nāpali,napali,Kaua‘i,kauai,Coral Dominated Hard Bottom,50.4,2019
Marine,NAPALI,Nāpali,napali,Kaua‘i,kauai,Open Ocean,67.84,2013
Marine,NAPALI,Nāpali,napali,Kaua‘i,kauai,Open Ocean,67.84,2016
Marine,NAPALI,Nāpali,napali,Kaua‘i,kauai,Open Ocean,67.84,2019
Marine,NAPALI,Nāpali,napali,Kaua‘i,kauai,Other Hard Bottom,1.09,2013
Marine,NAPALI,Nāpali,napali,Kaua‘i,kauai,Other Hard Bottom,1.09,2016
Marine,NAPALI,Nāpali,napali,Kaua‘i,kauai,Other Hard Bottom,1.09,2019
Marine,NAPALI,Nāpali,napali,Kaua‘i,kauai,Pavement,3.06,2013
Marine,NAPALI,Nāpali,napali,Kaua‘i,kauai,Pavement,3.06,2016
Marine,NAPALI,Nāpali,napali,Kaua‘i,kauai,Pavement,3.06,2019
Marine,NAPALI,Nāpali,napali,Kaua‘i,kauai,Rock/Boulder,0.86,2013
Marine,NAPALI,Nāpali,napali,Kaua‘i,kauai,Rock/Boulder,0.86,2016
Marine,NAPALI,Nāpali,napali,Kaua‘i,kauai,Rock/Boulder,0.86,2019
Marine,NAPALI,Nāpali,napali,Kaua‘i,kauai,Soft Bottom,6.12,2013
Marine,NAPALI,Nāpali,napali,Kaua‘i,kauai,Soft Bottom,6.12,2016
Marine,NAPALI,Nāpali,napali,Kaua‘i,kauai,Soft Bottom,6.12,2019
Marine,KOOLAU NIH,Ko‘olau,koolau,Ni‘ihau,niihau,Open Ocean,64.19,2013
Marine,KOOLAU NIH,Ko‘olau,koolau,Ni‘ihau,niihau,Open Ocean,64.19,2016
Marine,KOOLAU NIH,Ko‘olau,koolau,Ni‘ihau,niihau,Open Ocean,64.19,2019
Marine,KOOLAU NIH,Ko‘olau,koolau,Ni‘ihau,niihau,Pavement,0.21,2013
Marine,KOOLAU NIH,Ko‘olau,koolau,Ni‘ihau,niihau,Pavement,0.21,2016
Marine,KOOLAU NIH,Ko‘olau,koolau,Ni‘ihau,niihau,Pavement,0.21,2019
Marine,KOOLAU NIH,Ko‘olau,koolau,Ni‘ihau,niihau,Rock/Boulder,13.75,2013
Marine,KOOLAU NIH,Ko‘olau,koolau,Ni‘ihau,niihau,Rock/Boulder,13.75,2016
Marine,KOOLAU NIH,Ko‘olau,koolau,Ni‘ihau,niihau,Rock/Boulder,13.75,2019
Marine,KOOLAU NIH,Ko‘olau,koolau,Ni‘ihau,niihau,Soft Bottom,2.83,2013
Marine,KOOLAU NIH,Ko‘olau,koolau,Ni‘ihau,niihau,Soft Bottom,2.83,2016
Marine,KOOLAU NIH,Ko‘olau,koolau,Ni‘ihau,niihau,Soft Bottom,2.83,2019
Marine,PUNA KAU,Puna,puna,Kaua‘i,kauai,Coral Dominated Hard Bottom,1.19,2013
Marine,PUNA KAU,Puna,puna,Kaua‘i,kauai,Coral Dominated Hard Bottom,1.19,2016
Marine,PUNA KAU,Puna,puna,Kaua‘i,kauai,Coral Dominated Hard Bottom,1.19,2019
Marine,PUNA KAU,Puna,puna,Kaua‘i,kauai,Open Ocean,122.51,2013
