"year","county","area_id","ecosystem_type","species_group","exchange_value","withheld"
2021,"Hawaii",100,"All Ecosystems","Deep 7 Bottomfish",10288.8913,FALSE
2021,"Hawaii",100,"Reef","Deep 7 Bottomfish",0,FALSE
2021,"Hawaii",100,"Open Ocean","Deep 7 Bottomfish",10288.8913,FALSE
2021,"Hawaii",100,"All Ecosystems","Shallow Bottomfish",4314.432,FALSE
2021,"Hawaii",100,"Reef","Shallow Bottomfish",1188.7872,FALSE
2021,"Hawaii",100,"Open Ocean","Shallow Bottomfish",3125.6448,FALSE
2021,"Hawaii",100,"All Ecosystems","Reef-Associated",1139.71,FALSE
2021,"Hawaii",100,"Reef","Reef-Associated",1139.71,FALSE
2021,"Hawaii",100,"Open Ocean","Reef-Associated",0,FALSE
2021,"Hawaii",100,"All Ecosystems","Pelagics",24573.4413,FALSE
2021,"Hawaii",100,"Reef","Pelagics",0,FALSE
2021,"Hawaii",100,"Open Ocean","Pelagics",24573.4413,FALSE
2021,"Hawaii",100,"All Ecosystems","All Species",4316.4746,FALSE
2021,"Hawaii",100,"Open Ocean","All Species",37987.9774,FALSE
2021,"Hawaii",100,"Reef","All Species",2328.4972,FALSE
2021,"Hawaii",101,"All Ecosystems","Deep 7 Bottomfish",21256.2849,FALSE
2021,"Hawaii",101,"Reef","Deep 7 Bottomfish",0,FALSE
2021,"Hawaii",101,"Open Ocean","Deep 7 Bottomfish",21256.2849,FALSE
2021,"Hawaii",101,"All Ecosystems","Shallow Bottomfish",5643.28,FALSE
2021,"Hawaii",101,"Reef","Shallow Bottomfish",2208.1472,FALSE
2021,"Hawaii",101,"Open Ocean","Shallow Bottomfish",3435.1328,FALSE
2021,"Hawaii",101,"All Ecosystems","Reef-Associated",149472.18,FALSE
2021,"Hawaii",101,"Reef","Reef-Associated",149472.18,FALSE
2021,"Hawaii",101,"Open Ocean","Reef-Associated",0,FALSE
2021,"Hawaii",101,"All Ecosystems","Pelagics",65367.9920999999,FALSE
2021,"Hawaii",101,"Reef","Pelagics",0,FALSE
2021,"Hawaii",101,"Open Ocean","Pelagics",65367.9920999999,FALSE
2021,"Hawaii",101,"All Ecosystems","All Species",241739.737,FALSE
2021,"Hawaii",101,"Open Ocean","All Species",90059.4097999999,FALSE
2021,"Hawaii",101,"Reef","All Species",151680.3272,FALSE
2021,"Hawaii",102,"All Ecosystems","Deep 7 Bottomfish",6037.431,FALSE
2021,"Hawaii",102,"Reef","Deep 7 Bottomfish",0,FALSE
2021,"Hawaii",102,"Open Ocean","Deep 7 Bottomfish",6037.431,FALSE
2021,"Hawaii",102,"All Ecosystems","Shallow Bottomfish",12309.232,FALSE
2021,"Hawaii",102,"Reef","Shallow Bottomfish",3577.1072,FALSE
2021,"Hawaii",102,"Open Ocean","Shallow Bottomfish",8732.1248,FALSE
2021,"Hawaii",102,"All Ecosystems","Reef-Associated",2702.128,FALSE
2021,"Hawaii",102,"Reef","Reef-Associated",2702.128,FALSE
2021,"Hawaii",102,"Open Ocean","Reef-Associated",0,FALSE
2021,"Hawaii",102,"All Ecosystems","Pelagics",28441.39,FALSE
2021,"Hawaii",102,"Reef","Pelagics",0,FALSE
2021,"Hawaii",102,"Open Ocean","Pelagics",28441.39,FALSE
2021,"Hawaii",102,"All Ecosystems","All Species",4949.181,FALSE
2021,"Hawaii",102,"Open Ocean","All Species",43210.9458,FALSE
2021,"Hawaii",102,"Reef","All Species",6279.2352,FALSE
2021,"Hawaii",103,"All Ecosystems","Deep 7 Bottomfish",2922.725,FALSE
2021,"Hawaii",103,"Reef","Deep 7 Bottomfish",0,FALSE
2021,"Hawaii",103,"Open Ocean","Deep 7 Bottomfish",2922.725,FALSE
2021,"Hawaii",103,"All Ecosystems","Shallow Bottomfish",NA,TRUE
2021,"Hawaii",103,"Reef","Shallow Bottomfish",NA,TRUE
2021,"Hawaii",103,"Open Ocean","Shallow Bottomfish",NA,TRUE
2021,"Hawaii",103,"All Ecosystems","Reef-Associated",1601.6,FALSE
2021,"Hawaii",103,"Reef","Reef-Associated",1601.6,FALSE
2021,"Hawaii",103,"Open Ocean","Reef-Associated",0,FALSE
2021,"Hawaii",103,"All Ecosystems","Pelagics",943.994999999999,FALSE
2021,"Hawaii",103,"Reef","Pelagics",0,FALSE
2021,"Hawaii",103,"Open Ocean","Pelagics",943.994999999999,FALSE
2021,"Hawaii",103,"All Ecosystems","All Species",5468.32,FALSE
2021,"Hawaii",103,"Open Ocean","All Species",3866.72,FALSE
2021,"Hawaii",103,"Reef","All Species",1601.6,FALSE
2021,"Hawaii",104,"All Ecosystems","Deep 7 Bottomfish",NA,TRUE
2021,"Hawaii",104,"Reef","Deep 7 Bottomfish",NA,TRUE
2021,"Hawaii",104,"Open Ocean","Deep 7 Bottomfish",NA,TRUE
2021,"Hawaii",104,"All Ecosystems","Shallow Bottomfish",NA,TRUE
2021,"Hawaii",104,"Reef","Shallow Bottomfish",NA,TRUE
2021,"Hawaii",104,"Open Ocean","Shallow Bottomfish",NA,TRUE
2021,"Hawaii",104,"All Ecosystems","Reef-Associated",123.266,FALSE
2021,"Hawaii",104,"Reef","Reef-Associated",123.266,FALSE
2021,"Hawaii",104,"Open Ocean","Reef-Associated",0,FALSE
2021,"Hawaii",104,"All Ecosystems","Pelagics",299.421,FALSE
2021,"Hawaii",104,"Reef","Pelagics",0,FALSE
2021,"Hawaii",104,"Open Ocean","Pelagics",299.421,FALSE
2021,"Hawaii",104,"All Ecosystems","All Species",422.687,FALSE
2021,"Hawaii",104,"Open Ocean","All Species",299.421,FALSE
2021,"Hawaii",104,"Reef","All Species",123.266,FALSE
2021,"Hawaii",105,"All Ecosystems","Deep 7 Bottomfish",10445.956,FALSE
2021,"Hawaii",105,"Reef","Deep 7 Bottomfish",0,FALSE
2021,"Hawaii",105,"Open Ocean","Deep 7 Bottomfish",10445.956,FALSE
2021,"Hawaii",105,"All Ecosystems","Shallow Bottomfish",1148.528,FALSE
2021,"Hawaii",105,"Reef","Shallow Bottomfish",526.24,FALSE
2021,"Hawaii",105,"Open Ocean","Shallow Bottomfish",622.288,FALSE
2021,"Hawaii",105,"All Ecosystems","Reef-Associated",12822.238,FALSE
2021,"Hawaii",105,"Reef","Reef-Associated",12822.238,FALSE
2021,"Hawaii",105,"Open Ocean","Reef-Associated",0,FALSE
2021,"Hawaii",105,"All Ecosystems","Pelagics",23317.964,FALSE
2021,"Hawaii",105,"Reef","Pelagics",0,FALSE
2021,"Hawaii",105,"Open Ocean","Pelagics",23317.964,FALSE
2021,"Hawaii",105,"All Ecosystems","All Species",47734.686,FALSE
2021,"Hawaii",105,"Open Ocean","All Species",34386.208,FALSE
2021,"Hawaii",105,"Reef","All Species",13348.478,FALSE
2021,"Hawaii",106,"All Ecosystems","Deep 7 Bottomfish",11222.1301,FALSE
2021,"Hawaii",106,"Reef","Deep 7 Bottomfish",0,FALSE
2021,"Hawaii",106,"Open Ocean","Deep 7 Bottomfish",11222.1301,FALSE
2021,"Hawaii",106,"All Ecosystems","Shallow Bottomfish",1724.08,FALSE
2021,"Hawaii",106,"Reef","Shallow Bottomfish",912.9344,FALSE
2021,"Hawaii",106,"Open Ocean","Shallow Bottomfish",811.1456,FALSE
2021,"Hawaii",106,"All Ecosystems","Reef-Associated",15225.782,FALSE
2021,"Hawaii",106,"Reef","Reef-Associated",15225.782,FALSE
2021,"Hawaii",106,"Open Ocean","Reef-Associated",0,FALSE
2021,"Hawaii",106,"All Ecosystems","Pelagics",24945.673,FALSE
2021,"Hawaii",106,"Reef","Pelagics",0,FALSE
2021,"Hawaii",106,"Open Ocean","Pelagics",24945.673,FALSE
2021,"Hawaii",106,"All Ecosystems","All Species",53117.6651,FALSE
2021,"Hawaii",106,"Open Ocean","All Species",36978.9487,FALSE
2021,"Hawaii",106,"Reef","All Species",16138.7164,FALSE
2021,"Hawaii",107,"All Ecosystems","Deep 7 Bottomfish",2698.291,FALSE
2021,"Hawaii",107,"Reef","Deep 7 Bottomfish",0,FALSE
2021,"Hawaii",107,"Open Ocean","Deep 7 Bottomfish",2698.291,FALSE
2021,"Hawaii",107,"All Ecosystems","Shallow Bottomfish",192.464,FALSE
2021,"Hawaii",107,"Reef","Shallow Bottomfish",102.9664,FALSE
2021,"Hawaii",107,"Open Ocean","Shallow Bottomfish",89.4976,FALSE
2021,"Hawaii",107,"All Ecosystems","Reef-Associated",1592.734,FALSE
2021,"Hawaii",107,"Reef","Reef-Associated",1592.734,FALSE
2021,"Hawaii",107,"Open Ocean","Reef-Associated",0,FALSE
2021,"Hawaii",107,"All Ecosystems","Pelagics",11280.148,FALSE
2021,"Hawaii",107,"Reef","Pelagics",0,FALSE
2021,"Hawaii",107,"Open Ocean","Pelagics",11280.148,FALSE
2021,"Hawaii",107,"All Ecosystems","All Species",15763.637,FALSE
2021,"Hawaii",107,"Open Ocean","All Species",14067.9366,FALSE
2021,"Hawaii",107,"Reef","All Species",1695.7004,FALSE
2021,"Hawaii",108,"All Ecosystems","Deep 7 Bottomfish",NA,TRUE
2021,"Hawaii",108,"Reef","Deep 7 Bottomfish",NA,TRUE
2021,"Hawaii",108,"Open Ocean","Deep 7 Bottomfish",NA,TRUE
2021,"Hawaii",108,"All Ecosystems","Shallow Bottomfish",NA,TRUE
2021,"Hawaii",108,"Reef","Shallow Bottomfish",NA,TRUE
2021,"Hawaii",108,"Open Ocean","Shallow Bottomfish",NA,TRUE
2021,"Hawaii",108,"All Ecosystems","Reef-Associated",0,FALSE
2021,"Hawaii",108,"Reef","Reef-Associated",0,FALSE
2021,"Hawaii",108,"Open Ocean","Reef-Associated",0,FALSE
2021,"Hawaii",108,"All Ecosystems","Pelagics",3546.1973,FALSE
2021,"Hawaii",108,"Reef","Pelagics",0,FALSE
2021,"Hawaii",108,"Open Ocean","Pelagics",3546.1973,FALSE
2021,"Hawaii",108,"All Ecosystems","All Species",3546.1973,FALSE
2021,"Hawaii",108,"Open Ocean","All Species",3546.1973,FALSE
2021,"Hawaii",108,"Reef","All Species",0,FALSE
2021,"Hawaii",120,"All Ecosystems","Deep 7 Bottomfish",6254.045,FALSE
2021,"Hawaii",120,"Reef","Deep 7 Bottomfish",0,FALSE
2021,"Hawaii",120,"Open Ocean","Deep 7 Bottomfish",6254.045,FALSE
2021,"Hawaii",120,"All Ecosystems","Shallow Bottomfish",4329.52,FALSE
2021,"Hawaii",120,"Reef","Shallow Bottomfish",1574.672,FALSE
2021,"Hawaii",120,"Open Ocean","Shallow Bottomfish",2754.848,FALSE
2021,"Hawaii",120,"All Ecosystems","Reef-Associated",0,FALSE
2021,"Hawaii",120,"Reef","Reef-Associated",0,FALSE
