"year","island","ecosystem_type","species_group","exchange_value","withheld"
2005,"Hawaii","All Ecosystems","Herbivore",300588.771010829,FALSE
2005,"Hawaii","Reef","Herbivore",300588.771010829,FALSE
2005,"Hawaii","Open Ocean","Herbivore",0,FALSE
2005,"Kauai","All Ecosystems","Herbivore",73724.1943065226,FALSE
2005,"Kauai","Reef","Herbivore",73724.1943065226,FALSE
2005,"Kauai","Open Ocean","Herbivore",0,FALSE
2005,"Lanai","All Ecosystems","Herbivore",8315.04691017696,FALSE
2005,"Lanai","Reef","Herbivore",8315.04691017696,FALSE
2005,"Lanai","Open Ocean","Herbivore",0,FALSE
2005,"Maui","All Ecosystems","Herbivore",131057.176534386,FALSE
2005,"Maui","Reef","Herbivore",131057.176534386,FALSE
2005,"Maui","Open Ocean","Herbivore",0,FALSE
2005,"Molokai","All Ecosystems","Herbivore",71245.3550439017,FALSE
2005,"Molokai","Reef","Herbivore",71245.3550439017,FALSE
2005,"Molokai","Open Ocean","Herbivore",0,FALSE
2005,"Oahu","All Ecosystems","Herbivore",316375.55467451,FALSE
2005,"Oahu","Reef","Herbivore",316375.55467451,FALSE
2005,"Oahu","Open Ocean","Herbivore",0,FALSE
2006,"Hawaii","All Ecosystems","Herbivore",479514.304195291,FALSE
2006,"Hawaii","Reef","Herbivore",479514.304195291,FALSE
2006,"Hawaii","Open Ocean","Herbivore",0,FALSE
2006,"Kauai","All Ecosystems","Herbivore",117619.030229652,FALSE
2006,"Kauai","Reef","Herbivore",117619.030229652,FALSE
2006,"Kauai","Open Ocean","Herbivore",0,FALSE
2006,"Lanai","All Ecosystems","Herbivore",13259.726998305,FALSE
2006,"Lanai","Reef","Herbivore",13259.726998305,FALSE
2006,"Lanai","Open Ocean","Herbivore",0,FALSE
2006,"Maui","All Ecosystems","Herbivore",208992.49286107,FALSE
2006,"Maui","Reef","Herbivore",208992.49286107,FALSE
2006,"Maui","Open Ocean","Herbivore",0,FALSE
2006,"Molokai","All Ecosystems","Herbivore",113612.583065914,FALSE
2006,"Molokai","Reef","Herbivore",113612.583065914,FALSE
2006,"Molokai","Open Ocean","Herbivore",0,FALSE
2006,"Oahu","All Ecosystems","Herbivore",504271.895359347,FALSE
2006,"Oahu","Reef","Herbivore",504271.895359347,FALSE
2006,"Oahu","Open Ocean","Herbivore",0,FALSE
2007,"Hawaii","All Ecosystems","Herbivore",386309.372823637,FALSE
2007,"Hawaii","Reef","Herbivore",386309.372823637,FALSE
2007,"Hawaii","Open Ocean","Herbivore",0,FALSE
2007,"Kauai","All Ecosystems","Herbivore",94767.9086047077,FALSE
2007,"Kauai","Reef","Herbivore",94767.9086047077,FALSE
2007,"Kauai","Open Ocean","Herbivore",0,FALSE
2007,"Lanai","All Ecosystems","Herbivore",10677.3370533182,FALSE
2007,"Lanai","Reef","Herbivore",10677.3370533182,FALSE
2007,"Lanai","Open Ocean","Herbivore",0,FALSE
2007,"Maui","All Ecosystems","Herbivore",168290.288946076,FALSE
2007,"Maui","Reef","Herbivore",168290.288946076,FALSE
2007,"Maui","Open Ocean","Herbivore",0,FALSE
2007,"Molokai","All Ecosystems","Herbivore",91486.0345954285,FALSE
2007,"Molokai","Reef","Herbivore",91486.0345954285,FALSE
2007,"Molokai","Open Ocean","Herbivore",0,FALSE
2007,"Oahu","All Ecosystems","Herbivore",405811.30413247,FALSE
2007,"Oahu","Reef","Herbivore",405811.30413247,FALSE
2007,"Oahu","Open Ocean","Herbivore",0,FALSE
2008,"Hawaii","All Ecosystems","Herbivore",340139.372104605,FALSE
2008,"Hawaii","Reef","Herbivore",340139.372104605,FALSE
2008,"Hawaii","Open Ocean","Herbivore",0,FALSE
2008,"Kauai","All Ecosystems","Herbivore",83452.1300318403,FALSE
2008,"Kauai","Reef","Herbivore",83452.1300318403,FALSE
2008,"Kauai","Open Ocean","Herbivore",0,FALSE
2008,"Lanai","All Ecosystems","Herbivore",9396.38756398054,FALSE
2008,"Lanai","Reef","Herbivore",9396.38756398054,FALSE
2008,"Lanai","Open Ocean","Herbivore",0,FALSE
2008,"Maui","All Ecosystems","Herbivore",148100.670634929,FALSE
2008,"Maui","Reef","Herbivore",148100.670634929,FALSE
2008,"Maui","Open Ocean","Herbivore",0,FALSE
2008,"Molokai","All Ecosystems","Herbivore",80510.5461649944,FALSE
2008,"Molokai","Reef","Herbivore",80510.5461649944,FALSE
2008,"Molokai","Open Ocean","Herbivore",0,FALSE
2008,"Oahu","All Ecosystems","Herbivore",356885.329792195,FALSE
2008,"Oahu","Reef","Herbivore",356885.329792195,FALSE
2008,"Oahu","Open Ocean","Herbivore",0,FALSE
2009,"Hawaii","All Ecosystems","Herbivore",245265.284182675,FALSE
2009,"Hawaii","Reef","Herbivore",245265.284182675,FALSE
2009,"Hawaii","Open Ocean","Herbivore",0,FALSE
2009,"Kauai","All Ecosystems","Herbivore",60180.0324559153,FALSE
2009,"Kauai","Reef","Herbivore",60180.0324559153,FALSE
2009,"Kauai","Open Ocean","Herbivore",0,FALSE
2009,"Lanai","All Ecosystems","Herbivore",6773.18487188107,FALSE
2009,"Lanai","Reef","Herbivore",6773.18487188107,FALSE
2009,"Lanai","Open Ocean","Herbivore",0,FALSE
2009,"Maui","All Ecosystems","Herbivore",106755.198743101,FALSE
2009,"Maui","Reef","Herbivore",106755.198743101,FALSE
2009,"Maui","Open Ocean","Herbivore",0,FALSE
2009,"Molokai","All Ecosystems","Herbivore",58034.304098097,FALSE
2009,"Molokai","Reef","Herbivore",58034.304098097,FALSE
2009,"Molokai","Open Ocean","Herbivore",0,FALSE
2009,"Oahu","All Ecosystems","Herbivore",257138.719380918,FALSE
2009,"Oahu","Reef","Herbivore",257138.719380918,FALSE
2009,"Oahu","Open Ocean","Herbivore",0,FALSE
2010,"Hawaii","All Ecosystems","Herbivore",378892.400867282,FALSE
2010,"Hawaii","Reef","Herbivore",378892.400867282,FALSE
2010,"Hawaii","Open Ocean","Herbivore",0,FALSE
2010,"Kauai","All Ecosystems","Herbivore",92967.9769770225,FALSE
2010,"Kauai","Reef","Herbivore",92967.9769770225,FALSE
2010,"Kauai","Open Ocean","Herbivore",0,FALSE
2010,"Lanai","All Ecosystems","Herbivore",10463.2842309272,FALSE
2010,"Lanai","Reef","Herbivore",10463.2842309272,FALSE
2010,"Lanai","Open Ocean","Herbivore",0,FALSE
2010,"Maui","All Ecosystems","Herbivore",164916.506592853,FALSE
2010,"Maui","Reef","Herbivore",164916.506592853,FALSE
2010,"Maui","Open Ocean","Herbivore",0,FALSE
2010,"Molokai","All Ecosystems","Herbivore",89651.9776749886,FALSE
2010,"Molokai","Reef","Herbivore",89651.9776749886,FALSE
2010,"Molokai","Open Ocean","Herbivore",0,FALSE
2010,"Oahu","All Ecosystems","Herbivore",397224.812499507,FALSE
2010,"Oahu","Reef","Herbivore",397224.812499507,FALSE
2010,"Oahu","Open Ocean","Herbivore",0,FALSE
2011,"Hawaii","All Ecosystems","Herbivore",194737.429067026,FALSE
2011,"Hawaii","Reef","Herbivore",194737.429067026,FALSE
2011,"Hawaii","Open Ocean","Herbivore",0,FALSE
2011,"Kauai","All Ecosystems","Herbivore",47786.567753239,FALSE
